normalized,conf,journal
6,SWAT,Comput. Geom.
4,SWAT,J. ACM
4,SWAT,ACM Trans. Algorithms
3,SWAT,J. Biomed. Semant.
3,SWAT,Inf. Control.
3,SWAT,Discret. Appl. Math.
3,SWAT,BIT
3,SWAT,SIAM J. Discret. Math.
3,SWAT,J. Comput. Geom.
3,SWAT,Inf. Comput.
2,SWAT,SIAM J. Comput.
2,SWAT,J. Discrete Algorithms
2,SWAT,Inf. Process. Lett.
2,SWAT,Discret. Comput. Geom.
2,SWAT,BMC Bioinform.
47,SoCG,Discret. Comput. Geom.
31,SoCG,J. Comput. Geom.
5,SoCG,ACM Trans. Algorithms
5,SoCG,Comput. Geom.
4,SoCG,J. ACM
4,SoCG,Algorithmica
3,SoCG,SIAM J. Discret. Math.
3,SoCG,SIAM J. Comput.
2,SoCG,Comb.
100,UAI,AAAI
100,cp,IJCAI
100,hlt,AAAI
100,isaim,AAAI
58,nmr,AAAI
43,nmr,ECAI
100,opodis,PODC
