count,conf,journal
6,IJCAI,IEEE Trans. Knowl. Data Eng.
6,LICS,ICALP
6,GD,Graphs Comb.
6,AAAI,Games Econ. Behav.
6,GD,Electron. J. Comb.
6,nmr,ECAI
6,STACS,Discret. Comput. Geom.
6,APPROX,Discret. Appl. Math.
6,SoCG,Comb.
6,ECAI,Artif. Intell.
6,AAAI,Algorithmica
6,AAAI,AIES
6,FSTTCS,Acta Informatica
6,STACS,ACM Trans. Comput. Log.
6,FSTTCS,ACM Trans. Comput. Log.
6,IJCAI,ACL
6,hlt,AAAI
6,CVPR,AAAI
5,SOFSEM,Theory Comput. Syst.
5,LICS,TheoretiCS
5,IJCAI,Soc. Choice Welf.
5,AAAI,SIAM J. Discret. Math.
5,SWAT,SIAM J. Comput.
5,ESA,Random Struct. Algorithms
5,opodis,PODC
5,IJCAI,Pattern Recognit.
5,IJCAI,MRC
5,MFCS,Math. Syst. Theory
5,IJCAI,kdd
5,PODC,J. Parallel Distributed Comput.
5,IJCAI,J. Log. Comput.
5,GD,J. Graph Theory
5,SWAT,J. Discrete Algorithms
5,MFCS,J. Discrete Algorithms
5,PODC,J. Comput. Syst. Sci.
5,AAAI,J. Comput. Syst. Sci.
5,MFCS,J. Algorithms
5,AAAI,J. ACM
5,SOFSEM,Int. J. Found. Comput. Sci.
5,MFCS,Int. J. Found. Comput. Sci.
5,SODA,Int. J. Comput. Geom. Appl.
5,GD,Int. J. Comput. Geom. Appl.
5,SWAT,Inf. Process. Lett.
5,LATIN,Inf. Comput.
5,AAAI,IEEE Trans. Knowl. Data Eng.
5,SOFSEM,IACR Cryptol. ePrint Arch.
5,FSTTCS,IACR Cryptol. ePrint Arch.
5,IJCAI,Games Econ. Behav.
5,GD,Eur. J. Comb.
5,ISAAC,Electron. J. Comb.
5,LATIN,Electron. Colloquium Comput. Complex.
5,STACS,Discret. Math. Theor. Comput. Sci.
5,SWAT,Discret. Comput. Geom.
5,GD,Discret. Appl. Math.
5,IJCAI,Comput. Intell.
5,ITCS,Comput. Complex.
5,ISAAC,Comput. Complex.
5,SWAT,BMC Bioinform.
5,IJCAI,AI Commun.
5,ICALP,Acta Informatica
5,AAAI,ACM Trans. Economics and Comput.
5,AAAI,AAMAS
5,ICAPS,AAAI
5,CC,AAAI
